Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1203.0136487017908,1.2357982858281842,62,4952,5017,2021-02-26
India,1650.510200721502,0.8057944364328338,7169,881877,889681,2021-02-26
India,1072.043951509687,0.3326205749584224,56,16777,16836,2021-02-26
India,610.8848309459263,0.5020274184205445,1092,214792,217518,2021-02-26
India,210.30781700944283,0.5867471348451597,1540,260493,262464,2021-02-26
India,1869.6162966249533,1.6205734336765316,351,20986,21659,2021-02-26
India,1060.5263968746542,1.2262195727451235,3828,305524,312179,2021-02-26
India,553.1699267853778,0.0587199060481503,2,3400,3406,2021-02-26
India,3414.310636322465,1.7071326714137456,10906,626712,638849,2021-02-26
India,3459.164696611505,1.447030307448379,794,53490,54871,2021-02-26
India,421.2007130028105,1.638472889741331,4408,262487,269031,2021-02-26
India,958.7447365140524,1.125693851211674,3044,266264,270411,2021-02-26
India,785.6059248881668,1.6996054182395846,995,57287,58543,2021-02-26
India,928.1422162642068,1.548865274060466,1956,123527,126286,2021-02-26
India,310.574600971116,0.9068686750707056,1087,118284,119863,2021-02-26
India,1406.4079690378207,1.2965595917521129,12320,932367,950207,2021-02-26
India,2947.8247041557483,0.3956832139663631,4164,996514,1052357,2021-02-26
India,3578.7071300708376,1.3243683781581093,130,9632,9816,2021-02-26
India,516.8480032283599,0.3003003003003003,1,252,333,2021-02-26
India,305.7827610726067,1.4796197890526526,3862,254633,261013,2021-02-26
India,1736.300695161315,2.433921971944023,52041,2017303,2138154,2021-02-26
India,946.4523401729556,1.274777853725222,373,28850,29260,2021-02-26
India,414.67783087940455,1.0600959816632047,148,13794,13961,2021-02-26
India,356.8304546965731,0.2261420171867933,10,4386,4422,2021-02-26
India,542.2068324817366,0.7460239383505493,91,12098,12198,2021-02-26
India,727.0160750847986,0.5682189081888801,1915,334463,337018,2021-02-26
India,2808.3353731265147,1.680227725017004,667,38836,39697,2021-02-26
India,600.516771415821,3.2120837108572187,5814,170968,181004,2021-02-26
India,394.998615928937,0.8704128368710127,2786,316061,320078,2021-02-26
India,888.8071150929155,2.2004889975550124,135,5955,6135,2021-02-26
India,1092.7070341750732,1.4681798355704423,12488,834043,850577,2021-02-26
India,758.6643122230438,0.5468286949445972,1633,295059,298631,2021-02-26
India,801.1666763394065,1.1704133864160209,391,32984,33407,2021-02-26
India,,,0,0,0,2021-02-26
India,253.6333817430417,1.446092649374327,8725,592441,603350,2021-02-26
India,862.4320029636851,1.7427420102853728,1691,94850,97031,2021-02-26
India,576.9702052829342,1.785751571210824,10263,561110,574716,2021-02-26
