Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1796.4875933972128,1.7218366257341164,129,7355.0,7493,2021-07-12
India,3567.2021610958705,0.6761862512956076,13024,1884202.0,1924421,2021-07-12
India,2535.375030723521,0.4746716226737323,191,36274.0,40383,2021-07-12
India,1498.7570294738632,0.9046907880066634,4865,510432.0,536238,2021-07-12
India,579.5540295432547,1.3297699517339685,9619,712947.0,723355,2021-07-12
India,5337.284511594142,1.3084051689282077,809,60939.0,61841,2021-07-12
India,3390.2879753865227,1.3505375395927546,13478,980275.0,998270,2021-07-12
India,1719.2768188344128,0.0377857547704515,4,10563.0,10588,2021-07-12
India,7669.761009104735,1.7431047542197908,25018,1409417.0,1435128,2021-07-12
India,10636.154452324665,1.8356291045306907,3097,163957.0,168824,2021-07-12
India,1290.4509818082768,1.2220925407829255,10074,813399.0,824274,2021-07-12
India,2727.485909082077,1.2414221628303903,9556,758849.0,769307,2021-07-12
India,2732.517842633242,1.7144176087533023,3492,199020.0,203719,2021-07-12
India,2342.242428518512,1.367146438735711,4357,311782.0,318848,2021-07-12
India,897.3634933642962,1.478078584463283,5119,340862.0,346371,2021-07-12
India,4249.82807817913,1.2480418263795676,35896,2801907.0,2872684,2021-07-12
India,8586.509318926908,0.4758369066229607,14686,2946870.0,3073134,2021-07-12
India,7362.672217989057,1.0200544689279525,206,19894.0,20204,2021-07-12
India,15541.138307283987,0.4893638270248677,49,9851.0,10020,2021-07-12
India,925.7082721188104,1.142152054924542,10506,780735.0,791656,2021-07-12
India,5000.477367095004,2.044204430836408,126024,5927756.0,6165402,2021-07-12
India,2514.309188447847,1.6364127568151705,1287,69814.0,78621,2021-07-12
India,1621.1672523026932,1.6636130450714548,913,49830.0,54853,2021-07-12
India,1951.4316793141627,0.454864987801348,112,19803.0,24702,2021-07-12
India,1154.6454074885708,1.9518016630736064,511,24582.0,26052,2021-07-12
India,2027.2353719774303,0.4893844333398598,4662,915400.0,941745,2021-07-12
India,8416.870528077694,1.486854491662184,1771,115873.0,119057,2021-07-12
India,1982.650226318489,2.70850973396832,16193,580027.0,597714,2021-07-12
India,1176.224079149095,0.9384908186325838,8945,943553.0,953159,2021-07-12
India,3231.722952954795,1.4121127897072667,317,19855.0,22397,2021-07-12
India,3235.797793476306,1.326750267787736,33454,2456165.0,2521438,2021-07-12
India,1604.7742824354773,0.5903277435042577,3735,618496.0,632379,2021-07-12
India,1696.7025229543713,1.010614991024608,717,66353.0,71315,2021-07-12
India,,,0,0.0,0,2021-07-12
India,717.7276113681648,1.3294286467332417,22700,1683170.0,1707446,2021-07-12
India,3032.470945771425,2.151070259306698,7341,332957.0,341230,2021-07-12
India,1518.0600149365564,1.184819549125769,17927,1480556.0,1513014,2021-07-12
