Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1725.7502949385664,1.7368347922745588,125,6973.0,7197,2021-06-10
India,3316.828311716853,0.6579289584385556,11763,1677063.0,1787883,2021-06-10
India,1941.59920227093,0.4361799816345271,133,27150.0,30492,2021-06-10
India,1264.3595554238586,0.8538408399803643,3844,397929.0,450201,2021-06-10
India,573.5019426213441,1.3206097271317396,9452,701234.0,715730,2021-06-10
India,5259.337075615918,1.2851234243697478,783,59564.0,60928,2021-06-10
India,3346.046577770096,1.3487994314432206,13285,954390.0,984950,2021-06-10
India,1696.3769481131155,0.038295835327908,4,10320.0,10445,2021-06-10
India,7644.909213987424,1.7301054995235707,24748,1401473.0,1430433,2021-06-10
India,10159.369582348305,1.7939473667880834,2891,152657.0,161153,2021-06-10
India,1282.0796037424552,1.2182270010196667,9976,796208.0,818895,2021-06-10
India,2711.0134725101766,1.1588566017945865,8861,749407.0,764633,2021-06-10
India,2649.4792306180057,1.7007870825271731,3358,187742.0,197438,2021-06-10
India,2240.620535163071,1.3589577060085414,4143,282142.0,304866,2021-06-10
India,888.1547956689997,1.4823177953987174,5081,333179.0,342774,2021-06-10
India,4054.442122090883,1.185891234589985,32485,2496132.0,2739290,2021-06-10
India,7531.181929085,0.3954117213855589,10631,2542242.0,2688590,2021-06-10
India,7100.175362482637,1.011553273427471,197,18425.0,19475,2021-06-10
India,14082.167967840567,0.4629119365149344,42,8310.0,9073,2021-06-10
India,922.1937027938424,1.076634801664179,8475,772375.0,787175,2021-06-10
India,4771.71145901014,1.765596731294142,103748,5608753.0,5876087,2021-06-10
India,1878.7046606146764,1.5926034331364818,925,47797.0,58081,2021-06-10
India,1205.5092360197343,1.7345882816734834,704,34867.0,40586,2021-06-10
India,1189.6769320650333,0.4137556806620091,61,11104.0,14743,2021-06-10
India,1037.91847339306,1.8886509635974305,441,19032.0,23350,2021-06-10
India,1806.066027568099,0.3782730111105006,3167,772972.0,837226,2021-06-10
India,7870.654002498688,1.4893712642128445,1657,102893.0,111255,2021-06-10
India,1940.1405503325943,2.6278033807296697,15367,553174.0,584785,2021-06-10
India,1170.591784261287,0.92476822811793,8772,929711.0,948562,2021-06-10
India,2599.489171330429,1.5549239257649223,279,13624.0,17943,2021-06-10
India,2966.0848146266685,1.2355998991700587,28528,2091646.0,2308838,2021-06-10
India,1520.7557239675336,0.5746636797519591,3440,571610.0,598611,2021-06-10
India,1393.186330068104,1.025941163307111,596,51653.0,58093,2021-06-10
India,,,0,0.0,0,2021-06-10
India,715.0884958123798,1.2696111628431954,21597,1667232.0,1701072,2021-06-10
India,2985.2478806505246,2.047840507821572,6878,322347.0,335866,2021-06-10
India,1453.7838900448887,1.1492268511101411,16642,1416743.0,1448104,2021-06-10
