Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1194.8608753201163,1.2442303833032309,62,4896,4983,2021-01-17
India,1643.653489493695,0.8058827181047084,7140,876949,885985,2021-01-17
India,1070.4520592082056,0.3331152221759562,56,16697,16811,2021-01-17
India,608.9554371538727,0.4948554404121182,1073,212839,216831,2021-01-17
India,206.4183916262899,0.5655836341756919,1457,252331,257610,2021-01-17
India,1772.7646652101514,1.6068559185859668,330,19978,20537,2021-01-17
India,997.0739800214232,1.212261627728696,3558,283111,293501,2021-01-17
India,550.5713598950177,0.0589970501474926,2,3377,3390,2021-01-17
India,3379.999125644369,1.69916306810725,10746,619139,632429,2021-01-17
India,3303.7037037037044,1.4426104379353115,756,50771,52405,2021-01-17
India,400.5986999173148,1.7059310905452727,4365,245107,255872,2021-01-17
India,944.201057043984,1.1208783781246596,2985,261230,266309,2021-01-17
India,764.1350491246927,1.6964332753806437,966,55280,56943,2021-01-17
India,906.512561809512,1.5574454975150596,1921,120198,123343,2021-01-17
India,304.9338201937776,0.892204680250837,1050,115411,117686,2021-01-17
India,1379.455221777299,1.305369008698526,12166,911232,931997,2021-01-17
India,2374.9614244681634,0.4084458535020428,3463,775176,847848,2021-01-17
India,3520.3744955138563,1.3256006628003314,128,9437,9656,2021-01-17
India,0.0,,0,0,0,2021-01-17
India,294.729440545583,1.4917838602739508,3753,241426,251578,2021-01-17
India,1616.6077072084818,2.5336065289670926,50438,1886469,1990759,2021-01-17
India,933.3844404658512,1.2683670640421405,366,28147,28856,2021-01-17
India,407.0442657668762,1.0507880910683012,144,13412,13704,2021-01-17
India,348.8417131735155,0.2081887578070784,9,4235,4323,2021-01-17
India,535.9837666883733,0.7298059379664953,88,11854,12058,2021-01-17
India,719.0171681824538,0.5700399027931955,1900,329546,333310,2021-01-17
India,2733.9831430548224,1.6612327278372925,642,37720,38646,2021-01-17
India,566.0160205707948,3.226165704404912,5504,162484,170605,2021-01-17
India,388.95537577433714,0.8715626893753113,2747,307384,315181,2021-01-17
India,874.7542560604767,2.153030804902285,130,5747,6038,2021-01-17
India,1067.264231451937,1.476217301497884,12264,812568,830772,2021-01-17
India,741.4932479788243,0.5409905712092973,1579,286244,291872,2021-01-17
India,799.3680263341547,1.173046921876875,391,32902,33332,2021-01-17
India,,,0,0,0,2021-01-17
India,250.76558207410807,1.4376525494193064,8576,579071,596528,2021-01-17
India,842.6290688230177,1.699313312869846,1611,90838,94803,2021-01-17
India,567.4891631356962,1.7784358680422876,10053,548136,565272,2021-01-17
