Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1209.48790991665,1.2291831879460746,62,4975.0,5044,2021-03-27
India,1665.5908840469467,0.8022855615330637,7203,885892.0,897810,2021-03-27
India,1072.6170327382204,0.3324428613831998,56,16785.0,16845,2021-03-27
India,612.861968106924,0.5059068288256913,1104,215348.0,218222,2021-03-27
India,212.022561615942,0.5937174041208749,1571,261917.0,264604,2021-03-27
India,2235.529011034353,1.4441269596107809,374,22992.0,25898,2021-03-27
India,1148.0409975040625,1.201692608155294,4061,316043.0,337940,2021-03-27
India,581.4293417180426,0.0558659217877094,2,3448.0,3580,2021-03-27
India,3505.086494401505,1.6767962624688564,10997,638212.0,655834,2021-03-27
India,3621.93853427896,1.434215793779263,824,55250.0,57453,2021-03-27
India,467.4883121268077,1.5016945973824165,4484,283241.0,298596,2021-03-27
India,1015.1750637801684,1.093854229604613,3132,274785.0,286327,2021-03-27
India,837.1360267205049,1.6558998445089208,1033,58989.0,62383,2021-03-27
India,953.115904961812,1.5306437185774653,1985,125886.0,129684,2021-03-27
India,317.7207991263293,0.9027817421159507,1107,119878.0,122621,2021-03-27
India,1456.3216151589947,1.2696025123738477,12492,950167.0,983930,2021-03-27
India,3125.474534714729,0.4093111795636583,4567,1086669.0,1115777,2021-03-27
India,3636.310606695857,1.3033888109083618,130,9727.0,9974,2021-03-27
India,1108.1966195346815,0.1400560224089636,1,625.0,714,2021-03-27
India,335.5324188853508,1.3781087752743473,3947,269465.0,286407,2021-03-27
India,2170.999933955489,2.0225842082603784,54073,2314579.0,2673461,2021-03-27
India,950.2045093957876,1.273148148148148,374,28944.0,29376,2021-03-27
India,416.75701203845887,1.0690613641223006,150,13855.0,14031,2021-03-27
India,360.3003121257799,0.2463605823068309,11,4428.0,4465,2021-03-27
India,543.5847970502668,0.7523100825905634,92,12133.0,12229,2021-03-27
India,733.2417615249732,0.5648653737525889,1920,336571.0,339904,2021-03-27
India,2897.9683659912475,1.6599941411971486,680,39521.0,40964,2021-03-27
India,759.3018406958437,2.892984479865772,6621,198972.0,228864,2021-03-27
India,406.7432588840783,0.8528648796249944,2811,320426.0,329595,2021-03-27
India,901.9907251130386,2.168326373273369,135,6041.0,6226,2021-03-27
India,1127.0101757208038,1.442984500939838,12659,852463.0,877279,2021-03-27
India,778.2462863604081,0.5510235392816455,1688,300156.0,306339,2021-03-27
India,803.181164345289,1.1704637066674628,392,33050.0,33491,2021-03-27
India,,,0,0.0,0,2021-03-27
India,257.4390385010093,1.4341863119547096,8783,596953.0,612403,2021-03-27
India,884.5103191241059,1.7173290458724817,1709,96467.0,99515,2021-03-27
India,586.1289883737063,1.7679531514681273,10322,568909.0,583839,2021-03-27
