,Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
3093,India,11.509797715305153,0.0,0,37,48,2020-06-21
3094,India,16.694681909912426,1.1779086565173909,106,4331,8999,2020-06-21
3108,India,8.596218427999982,0.0,0,15,135,2020-06-21
3109,India,15.131839521955195,0.16703786191536749,9,3360,5388,2020-06-21
3131,India,6.0993625909682025,0.6962690488702049,53,5580,7612,2020-06-21
3163,India,35.04613400571269,1.477832512315271,6,316,406,2020-06-21
3170,India,7.728570957334857,0.4835164835164835,11,1447,2275,2020-06-21
3187,India,14.292117896979814,0.0,0,26,88,2020-06-21
3190,India,319.31082818901183,3.640411073544672,2175,33013,59746,2020-06-21
3217,India,47.53349093774626,0.0,0,129,754,2020-06-21
3232,India,42.678841607311476,6.1005135730007325,1663,19349,27260,2020-06-21
3237,India,37.70649223895088,1.5044663845792197,160,5557,10635,2020-06-21
3243,India,9.031187118011315,1.188707280832095,8,425,673,2020-06-21
3264,India,43.7737757159908,1.3767629281396911,82,3382,5956,2020-06-21
3267,India,5.371308475619028,0.5306319343945972,11,1406,2073,2020-06-21
3284,India,13.542978442272116,1.4972677595628416,137,5618,9150,2020-06-21
3286,India,8.885292692101666,0.6620428751576293,21,1661,3172,2020-06-21
3311,India,305.15259452621143,0.11947431302270012,1,134,837,2020-06-21
3326,India,13.944639558363905,4.32664034277073,515,9015,11903,2020-06-21
3332,India,107.2522906738386,4.671588112814689,6170,65744,132075,2020-06-21
3333,India,27.20322686553164,0.0,0,250,841,2020-06-21
3344,India,1.3069138714056157,2.272727272727273,1,33,44,2020-06-21
3354,India,11.37790459344568,0.0,0,9,141,2020-06-21
3365,India,9.379049159997244,0.0,0,141,211,2020-06-21
3398,India,11.131164945010537,0.2713178294573643,14,3720,5160,2020-06-21
3427,India,25.892403621540783,2.1857923497267757,8,140,366,2020-06-21
3431,India,13.516305312302794,2.430044182621502,99,2700,4074,2020-06-21
3441,India,18.424663162788534,2.3375753516409907,349,11597,14930,2020-06-21
3488,India,11.300237160105526,0.0,0,25,78,2020-06-21
3507,India,76.27959087562128,1.2749044242720244,757,32754,59377,2020-06-21
3511,India,19.820778700015033,2.6916175339656494,210,3731,7802,2020-06-21
3526,India,29.282022085503502,0.0819000819000819,1,759,1221,2020-06-21
3540,India,,0.0,0,0,7832,2020-06-21
3546,India,7.45367281293755,3.1019119057018782,550,10995,17731,2020-06-21
3547,India,20.83396661836813,1.151877133105802,27,1500,2344,2020-06-21
3570,India,13.999696393819766,3.9799211186805312,555,8297,13945,2020-06-21
