Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,323.9528481953596,1.4803849000740192,20,500,1351,2020-08-08
India,402.6462675549942,0.8933837080722448,1939,129615,217040,2020-08-08
India,134.8014400894516,0.141709966934341,3,1430,2117,2020-08-08
India,162.08592913328175,0.2425754582943479,140,40591,57714,2020-08-08
India,60.33176654287439,0.5073445427258481,382,48243,75294,2020-08-08
India,123.09307165553275,1.6830294530154275,24,872,1426,2020-08-08
India,39.893014836036585,0.7578983224048369,89,8582,11743,2020-08-08
India,236.4695870227569,0.1373626373626373,2,1037,1456,2020-08-08
India,770.2827257790933,2.8433256780478326,4098,129362,144127,2020-08-08
India,517.3207249802995,0.8774067755300999,72,5802,8206,2020-08-08
India,109.38840734634064,3.761324764917202,2628,52855,69869,2020-08-08
India,144.80923954071187,1.1605415860735009,474,34031,40843,2020-08-08
India,43.80058655748728,0.4289215686274509,14,2081,3264,2020-08-08
India,179.25493447162788,1.881918819188192,459,16667,24390,2020-08-08
India,44.29191851530712,0.9067509067509067,155,8123,17094,2020-08-08
India,254.72936348326945,1.7960279369211285,3091,89238,172102,2020-08-08
India,92.77455673468071,0.3200483091787439,106,20862,33120,2020-08-08
India,597.5449252430831,0.5491153142159854,9,1214,1639,2020-08-08
India,0.0,,0,0,0,2020-08-08
India,44.70180724426544,2.560473831800194,977,28353,38157,2020-08-08
India,408.5323596544192,3.4521074015472566,17367,338362,503084,2020-08-08
India,117.57875107753568,0.3026134800550206,11,1927,3635,2020-08-08
India,30.38574751018056,0.5865102639296188,6,423,1023,2020-08-08
India,47.851754779526864,0.0,0,296,593,2020-08-08
India,119.4828632325715,0.2604166666666667,7,896,2688,2020-08-08
India,95.33325046799428,0.5860656665082705,259,30242,44193,2020-08-08
India,362.4229064293809,1.5615850087839156,80,3054,5123,2020-08-08
India,76.06820034376004,2.451151430565248,562,14880,22928,2020-08-08
India,63.34233830004087,1.515741895261845,778,37163,51328,2020-08-08
India,124.59235843193274,0.1162790697674418,1,470,860,2020-08-08
India,373.7182232658161,1.652761879226007,4808,232618,290907,2020-08-08
India,201.954986254511,0.788728850871124,627,55999,79495,2020-08-08
India,147.3933724303886,0.6671005532053368,41,4176,6146,2020-08-08
India,,,0,0,0,2020-08-08
India,49.62024880116873,1.7180907843236923,2028,69833,118038,2020-08-08
India,83.56695995985373,1.2444160816847478,117,5963,9402,2020-08-08
India,92.9782632853078,2.164876099983804,2005,65124,92615,2020-08-08
