Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1019.8160350665172,1.3637432400658358,58,3997,4253,2020-10-26
India,1500.6921734963882,0.8166403765990378,6606,773548,808924,2020-10-26
India,916.3568844247984,0.243207560280731,35,12182,14391,2020-10-26
India,574.0044826529945,0.444257434462243,908,188587,204386,2020-10-26
India,170.15635089399012,0.4982223164041346,1058,201942,212355,2020-10-26
India,1215.824624311486,1.5761448349307774,222,13230,14085,2020-10-26
India,603.3652881715733,1.0478131615692987,1861,153654,177608,2020-10-26
India,524.2608701301232,0.0619578686493184,2,3176,3228,2020-10-26
India,1921.273574867129,1.7558305145095248,6312,327390,359488,2020-10-26
India,2681.292356185973,1.3683814539640742,582,39433,42532,2020-10-26
India,262.89759368518475,2.1974880746074,3690,150513,167919,2020-10-26
India,565.3562889465343,1.0893218861511254,1737,147566,159457,2020-10-26
India,276.24965529179934,1.423297386573399,293,17782,20586,2020-10-26
India,677.8100176976583,1.565735971808078,1444,83485,92225,2020-10-26
India,258.8644209190519,0.8728204512241508,872,93368,99906,2020-10-26
India,1192.8877427993316,1.3582779016486195,10947,719558,805947,2020-10-26
India,1112.6700212101348,0.3403681111332093,1352,302017,397217,2020-10-26
India,2179.453058635236,1.1876881900301104,71,5216,5978,2020-10-26
India,0.0,,0,0,0,2020-10-26
India,196.7795649818388,1.7205555787079758,2890,154222,167969,2020-10-26
India,1338.8082362580662,2.629278840759038,43348,1470660,1648665,2020-10-26
India,563.6016942984818,0.8264462809917356,144,13057,17424,2020-10-26
India,269.2836626855298,0.8934480476505625,81,7471,9066,2020-10-26
India,203.91464473501583,0.0,0,2212,2527,2020-10-26
India,385.0744211993182,0.3809303936280734,33,6792,8663,2020-10-26
India,609.8303632034406,0.4453563027290896,1259,266105,282695,2020-10-26
India,2429.075329915913,1.7124883504193849,588,29990,34336,2020-10-26
India,435.91577596680816,3.139484439573487,4125,123047,131391,2020-10-26
India,232.06437096021835,0.9853867097762272,1853,169962,188048,2020-10-26
India,556.3193678821183,1.6927083333333333,65,3530,3840,2020-10-26
India,914.3132266847608,1.539384555291248,10956,671489,711713,2020-10-26
India,591.094642516175,0.5651757202229758,1315,213466,232671,2020-10-26
India,726.4867281213412,1.1355758756148284,344,28153,30293,2020-10-26
India,,,0,0,0,2020-10-26
India,198.4494670640754,1.462473282960195,6904,438521,472077,2020-10-26
India,539.9054898746389,1.6478993810088238,1001,55663,60744,2020-10-26
India,355.20979400889894,1.850082810000509,6546,310086,353822,2020-10-26
