Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1200.6157741777688,1.238266427002197,62,4934,5007,2021-02-12
India,1648.8015884269105,0.8058418470678248,7162,880784,888760,2021-02-12
India,1071.78924874145,0.3326996197718631,56,16771,16832,2021-02-12
India,610.2304659480391,0.4998044043537289,1086,214542,217285,2021-02-12
India,209.6523679028464,0.5817019942976388,1522,259433,261646,2021-02-12
India,1830.2541362638572,1.6224119228411074,344,20717,21203,2021-02-12
India,1048.7110255385614,1.2199506966287768,3766,301648,308701,2021-02-12
India,551.8706433401978,0.0588581518540317,2,3396,3398,2021-02-12
India,3402.665031685772,1.7103051816482635,10889,624728,636670,2021-02-12
India,3413.837667454689,1.434850051706308,777,52780,54152,2021-02-12
India,414.4481875496801,1.6621461328659175,4400,258551,264718,2021-02-12
India,953.3413802214184,1.1287269373379896,3035,265015,268887,2021-02-12
India,780.2247866499463,1.7027278043410958,990,56647,58142,2021-02-12
India,920.2194274425414,1.5558111302792157,1948,122626,125208,2021-02-12
India,308.96554040027206,0.906559769208836,1081,117720,119242,2021-02-12
India,1397.8677520310544,1.2980219961733817,12259,926234,944437,2021-02-12
India,2784.502828237404,0.3977659116424493,3954,925871,994052,2021-02-12
India,3559.3844448738373,1.3315579227696406,130,9583,9763,2021-02-12
India,291.7940678886837,0.0,0,119,188,2021-02-12
India,301.349717630714,1.4885568889977414,3829,251538,257229,2021-02-12
India,1670.0539821506688,2.5017808735397447,51451,1972475,2056575,2021-02-12
India,943.4117892510056,1.278886374545704,373,28737,29166,2021-02-12
India,413.8164558277964,1.0623026126902095,148,13620,13932,2021-02-12
India,354.4096239320102,0.2049180327868852,9,4363,4392,2021-02-12
India,541.2289221427793,0.7227332457293035,88,12011,12176,2021-02-12
India,724.910645436285,0.5683813332857203,1910,333351,336042,2021-02-12
India,2788.456232641124,1.6642987619240917,656,38476,39416,2021-02-12
India,583.2647371438587,3.2365588951332165,5690,167814,175804,2021-02-12
India,393.31040834643903,0.8722663236170813,2780,314523,318710,2021-02-12
India,886.0544932205821,2.207325049051668,135,5920,6116,2021-02-12
India,1084.4800355061025,1.469840897541144,12408,827480,844173,2021-02-12
India,753.067647845175,0.5444829773165828,1614,293033,296428,2021-02-12
India,799.8716483356253,1.1723083380805326,391,32960,33353,2021-02-12
India,,,0,0,0,2021-02-12
India,253.0662955874581,1.444848098258973,8698,590071,602001,2021-02-12
India,859.6855457601546,1.7348690060172454,1678,94396,96722,2021-02-12
India,574.4644152363961,1.7875991751424278,10229,557758,572220,2021-02-12
