,Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
3148,India,37.40684257474175,0.0,0,92,156,2020-07-10
3149,India,47.16215174061492,1.1486114389111792,292,13194,25422,2020-07-10
3163,India,21.331356839851814,0.5970149253731343,2,120,335,2020-07-10
3164,India,41.003128622966926,0.18493150684931506,27,9147,14600,2020-07-10
3186,India,11.678692822301835,0.8164665523156089,119,10109,14575,2020-07-10
3218,India,46.52676411103237,1.2987012987012987,7,408,539,2020-07-10
3225,India,12.79715463572765,0.4512874966817096,17,3028,3767,2020-07-10
3242,India,74.54638766720154,0.0,0,211,459,2020-07-10
3245,India,583.2956815276126,3.0236393622869713,3300,84694,109140,2020-07-10
3272,India,141.9070133963751,0.3998223011994669,9,1347,2251,2020-07-10
3287,India,62.73288717400454,5.046295140881978,2022,28147,40069,2020-07-10
3292,India,70.6761839484012,1.4548008427811778,290,14904,19934,2020-07-10
3298,India,15.713997199392645,0.9393680614859096,11,883,1171,2020-07-10
3319,India,72.67211119538568,1.608009708737864,159,5786,9888,2020-07-10
3322,India,8.858901919026268,0.6727113190991518,23,2224,3419,2020-07-10
3339,India,49.462213506431645,1.624872823029505,543,13836,33418,2020-07-10
3341,India,19.46809086068934,0.3884892086330936,27,3820,6950,2020-07-10
3366,India,387.91201980392935,0.09398496240601503,1,917,1064,2020-07-10
3381,India,19.514060415329546,3.830221528486522,638,12481,16657,2020-07-10
3387,India,193.64367583853283,4.148686787357262,9893,132625,238461,2020-07-10
3388,India,51.1718250906909,0.0,0,832,1582,2020-07-10
3399,India,6.148435713203693,0.966183574879227,2,66,207,2020-07-10
3409,India,18.236925093040604,0.0,0,143,226,2020-07-10
3420,India,32.5377440052985,0.0,0,304,732,2020-07-10
3453,India,25.791513194291856,0.468384074941452,56,7972,11956,2020-07-10
3482,India,89.98671422568272,1.3364779874213837,17,637,1272,2020-07-10
3486,India,24.40831079592824,2.5417969280956907,187,5017,7357,2020-07-10
3496,India,28.598335173105262,2.14464486061966,497,17620,23174,2020-07-10
3543,India,19.41322794171975,0.0,0,80,134,2020-07-10
3562,India,167.34182910974457,1.4041040679865808,1829,82324,130261,2020-07-10
3566,India,81.86423645594516,1.0520109235352533,339,19205,32224,2020-07-10
3581,India,45.99747613431263,0.05213764337851929,1,1372,1918,2020-07-10
3595,India,,0.0,0,0,3416,2020-07-10
3601,India,14.166644509390078,2.637982195845697,889,21787,33700,2020-07-10
3602,India,29.9799357524555,1.3637711236288173,46,2706,3373,2020-07-10
3625,India,27.21532947580208,3.246154413663359,880,17348,27109,2020-07-10
