Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1197.4985372965402,1.2414897877452944,62,4928,4994,2021-01-31
India,1647.0874106199583,0.8056668123392158,7153,879405,887836,2021-01-31
India,1071.534545973213,0.3327787021630615,56,16759,16828,2021-01-31
India,609.8260515287441,0.4982937354069475,1082,214178,217141,2021-01-31
India,207.98329640035203,0.5782796469450576,1501,257169,259563,2021-01-31
India,1806.2570297279267,1.5961768219832737,334,20426,20925,2021-01-31
India,1037.384847265263,1.2119842681101756,3701,297339,305367,2021-01-31
India,551.8706433401978,0.0588581518540317,2,3390,3398,2021-01-31
India,3394.252832650364,1.7088755085845289,10853,622882,635096,2021-01-31
India,3366.997635933806,1.4379598943998202,768,51891,53409,2021-01-31
India,409.4726424789524,1.6773724860441996,4387,253703,261540,2021-01-31
India,949.8313259368337,1.1265523690074917,3018,263764,267897,2021-01-31
India,772.0926924545304,1.701543381535039,979,56167,57536,2021-01-31
India,915.0600603249076,1.55494514320595,1936,121822,124506,2021-01-31
India,307.5404464969482,0.9031779732416676,1072,117067,118692,2021-01-31
India,1390.3932120164673,1.3005289619720095,12217,921122,939387,2021-01-31
India,2602.780105000518,0.4028291672854932,3743,854206,929178,2021-01-31
India,3543.707549336649,1.337448559670782,130,9523,9720,2021-01-31
India,135.03236120380578,0.0,0,49,87,2021-01-31
India,298.86960321039504,1.4934616952554172,3810,248637,255112,2021-01-31
India,1645.5493815572656,2.5208263525593924,51082,1929005,2026399,2021-01-31
India,940.2418531834404,1.2763176001100869,371,28553,29068,2021-01-31
India,408.82642104606566,1.0607381575123511,146,13550,13764,2021-01-31
India,352.79573675563483,0.2058554437328453,9,4330,4372,2021-01-31
India,537.5839836066667,0.7276335372912188,88,11950,12094,2021-01-31
India,722.8181590028238,0.5688329672428613,1906,332103,335072,2021-01-31
India,2763.837225919004,1.658646462578069,648,38135,39068,2021-01-31
India,574.8775943285663,3.240494932939357,5615,165533,173276,2021-01-31
India,391.8060771746078,0.8712057979596272,2766,312564,317491,2021-01-31
India,882.2877475005469,2.200328407224959,134,5870,6090,2021-01-31
India,1076.9865809095836,1.473865018966052,12356,821430,838340,2021-01-31
India,748.3906350809186,0.5434727262234925,1601,290894,294587,2021-01-31
India,799.8236843354853,1.1723786393211597,391,32941,33351,2021-01-31
India,,,0,0,0,2021-01-31
India,252.3508169834526,1.44228126317052,8658,586116,600299,2021-01-31
India,854.41483662846,1.7102019161751396,1644,93310,96129,2021-01-31
India,572.2336998984923,1.7847431043617696,10173,554272,569998,2021-01-31
