,Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
3252,India,62.104950172167385,0.0,0,174,259,2020-07-24
3253,India,150.00539947457486,1.1538746939078384,933,39935,80858,2020-07-24
3267,India,67.24153081457766,0.2840909090909091,3,392,1056,2020-07-24
3268,India,84.03113777587626,0.25400220580862937,76,21761,29921,2020-07-24
3290,India,27.18431099069723,0.6484701998467253,220,22343,33926,2020-07-24
3322,India,71.0417938096097,1.5795868772782502,13,535,823,2020-07-24
3329,India,22.86637851156964,0.5348388055266676,36,4567,6731,2020-07-24
3346,India,132.3645009777108,0.24539877300613494,2,512,815,2020-07-24
3349,India,686.1714243691465,2.941840811907562,3777,110931,128389,2020-07-24
3380,India,286.2096138691884,0.6387665198237885,29,2865,4540,2020-07-24
3395,India,83.83120226938712,4.2543654869735725,2278,38849,53545,2020-07-24
3400,India,105.49663155336,1.2838178457402116,382,22953,29755,2020-07-24
3406,India,26.221307026142807,0.5629477993858751,11,1145,1954,2020-07-24
3428,India,123.33974211983843,1.7637945417709453,296,9217,16782,2020-07-24
3431,India,19.4149611229201,0.9342052582410251,70,3307,7493,2020-07-24
3448,India,127.09678238665644,2.007686037032724,1724,31347,85870,2020-07-24
3450,India,47.60578477372882,0.3177405119152692,54,7562,16995,2020-07-24
3475,India,454.26539161249633,0.16051364365971107,2,1035,1246,2020-07-24
3491,India,30.705620669135342,3.0179320869896986,791,17866,26210,2020-07-24
3497,India,289.99898760983695,3.677226231179137,13132,199967,357117,2020-07-24
3498,India,69.41513062239108,0.0,0,1491,2146,2020-07-24
3509,India,17.465121736056858,0.8503401360544217,5,87,588,2020-07-24
3519,India,29.130663533573696,0.0,0,183,361,2020-07-24
3530,India,55.07413227126344,0.08071025020177562,1,537,1239,2020-07-24
3565,India,48.95339653045041,0.5287974265191909,120,15201,22693,2020-07-24
3595,India,177.92184455785537,1.3916500994035783,35,1483,2515,2020-07-24
3598,India,40.529009743517655,2.3084479371316307,282,8096,12216,2020-07-24
3608,India,42.17804002530387,1.7613669612031129,602,24547,34178,2020-07-24
3655,India,69.10529647910687,0.0,0,142,477,2020-07-24
3674,India,256.6106741299573,1.6620859178268728,3320,143297,199749,2020-07-24
3678,India,133.28851259612773,0.8672283002325315,455,40334,52466,2020-07-24
3693,India,90.14833826323314,0.2926310188880021,11,2131,3759,2020-07-24
3713,India,25.546621764989446,2.21816326866433,1348,37712,60771,2020-07-24
3714,India,48.39630897483552,1.1019283746556474,60,3399,5445,2020-07-24
3737,India,54.18469798950405,2.390083930854316,1290,33529,53973,2020-07-24
3926,India,,0.0,0,0,163,2020-07-24
