Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,751.0143009236612,1.468710089399745,46,2647,3132,2020-08-31
India,806.5744581236287,0.9128943742797933,3969,330526,434771,2020-08-31
India,261.8344457476736,0.1702334630350194,7,2885,4112,2020-08-31
India,306.2315852772818,0.2806309611151871,306,85461,109040,2020-08-31
India,109.3406097051692,0.4265079842001509,582,119540,136457,2020-08-31
India,375.1490108099197,1.2885411872986654,56,2431,4346,2020-08-31
India,107.02117400831648,0.8792813382852427,277,16989,31503,2020-08-31
India,384.4254893426275,0.084495141529362,2,2081,2367,2020-08-31
India,933.9358049806418,2.5430906219241423,4444,155678,174748,2020-08-31
India,1098.06146572104,1.1023079572855667,192,13577,17418,2020-08-31
India,150.7693487448311,3.136033229491173,3020,77756,96300,2020-08-31
India,229.5079130805612,1.0643885558919854,689,52672,64732,2020-08-31
India,82.07242260587994,0.6213211249182472,38,4515,6116,2020-08-31
India,277.06242393240785,1.8648204148761207,703,29015,37698,2020-08-31
India,107.9340211579287,1.0010562704052235,417,27143,41656,2020-08-31
India,506.82265651783,1.665191882554618,5702,249467,342423,2020-08-31
India,211.16575964504543,0.3899980102142336,294,51538,75385,2020-08-31
India,977.4362077954274,1.268183513614323,34,1874,2681,2020-08-31
India,0.0,,0,0,0,2020-08-31
India,74.93647562385509,2.179316813882592,1394,48657,63965,2020-08-31
India,643.587641135224,3.101795364530037,24583,573559,792541,2020-08-31
India,202.22898259608056,0.4478566858605246,28,4330,6252,2020-08-31
India,70.33572835201132,0.4222972972972973,10,1162,2368,2020-08-31
India,81.58199676577009,0.0,0,591,1011,2020-08-31
India,175.5793563127446,0.2278481012658227,9,3067,3950,2020-08-31
India,223.34811894314163,0.4751970329160871,492,77286,103536,2020-08-31
India,1019.4957065301209,1.5821247658038995,228,9334,14411,2020-08-31
India,179.12919892534424,2.691139428063417,1453,37027,53992,2020-08-31
India,100.81486991009272,1.292644412617972,1056,66812,81693,2020-08-31
India,239.3332280576196,0.1815980629539951,3,1225,1652,2020-08-31
India,549.8895592231304,1.7105837992154955,7322,368141,428041,2020-08-31
India,324.41091741294787,0.6546747378560186,836,95162,127697,2020-08-31
India,291.4532468510435,0.9298115691598782,113,7674,12153,2020-08-31
India,,,0,0,0,2020-08-31
India,96.86033317467673,1.512928901889642,3486,172140,230414,2020-08-31
India,176.22655978770686,1.356735764361729,269,13650,19827,2020-08-31
India,163.41646321930392,1.9830689650935631,3228,134270,162778,2020-08-31
