Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1190.0651262720723,1.249244408623816,62,4884,4963,2021-01-11
India,1641.8947875878614,0.8057290260181212,7131,875456,885037,2021-01-11
India,1068.2870856781908,0.3337903081599809,56,16658,16777,2021-01-11
India,608.4049841942767,0.4911487063493895,1064,212579,216635,2021-01-11
India,205.07383954698813,0.5622587249738211,1439,250439,255932,2021-01-11
India,1755.9321624241566,1.6075115524530528,327,19756,20342,2021-01-11
India,985.4658363022088,1.2082707077949837,3505,278029,290084,2021-01-11
India,549.2720764498379,0.0591366055588409,2,3376,3382,2021-01-11
India,3369.721705857146,1.6956222462593535,10691,616461,630506,2021-01-11
India,3271.300236406619,1.4434102252799137,749,50343,51891,2021-01-11
India,395.4117959464776,1.721181981240027,4347,240517,252559,2021-01-11
India,940.2655416339948,1.1146346705681394,2956,259696,265199,2021-01-11
India,758.4721056420766,1.7002530033085048,961,54686,56521,2021-01-11
India,901.4266899499644,1.5580794286226771,1911,118972,122651,2021-01-11
India,303.05528732121417,0.8960251707834236,1048,114531,116961,2021-01-11
India,1373.6206402451198,1.308543135913281,12144,906548,928055,2021-01-11
India,2280.870320581753,0.407978797874875,3322,747389,814258,2021-01-11
India,3507.614231704516,1.3200291030038458,127,9311,9621,2021-01-11
India,0.0,,0,0,0,2021-01-11
India,291.8053188672098,1.4926811250913354,3718,237713,249082,2021-01-11
India,1601.0105484201235,2.541195971498596,50101,1867988,1971552,2021-01-11
India,928.1119957820442,1.2720872686718014,365,27851,28693,2021-01-11
India,404.8759768438624,1.049079304526447,143,13337,13631,2021-01-11
India,346.9050485618652,0.209351011863224,9,4194,4299,2021-01-11
India,532.8277833217392,0.7007591557520647,84,11795,11987,2021-01-11
India,716.4198963619513,0.5696976266613671,1892,328271,332106,2021-01-11
India,2722.0273610547124,1.658133430360995,638,37535,38477,2021-01-11
India,561.4375960909279,3.218791549711922,5447,160920,169225,2021-01-11
India,386.7883490821834,0.8729361091170137,2736,304104,313425,2021-01-11
India,867.6553891265642,2.1539489063282686,129,5538,5989,2021-01-11
India,1062.3452467699428,1.4786992573853337,12228,807744,826943,2021-01-11
India,737.5224870062372,0.5401141542287701,1568,284217,290309,2021-01-11
India,798.8164403325441,1.1648503407487465,388,32872,33309,2021-01-11
India,,,0,0,0,2021-01-11
India,249.5683534817419,1.4324215065355073,8504,574312,593680,2021-01-11
India,833.5097643219742,1.6827153779711443,1578,89446,93777,2021-01-11
India,563.5226661509719,1.7738513257120256,9957,543826,561321,2021-01-11
