Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,696.3427617759618,1.2052341597796143,35,2092,2904,2020-08-24
India,671.0375356148729,0.9311275268722076,3368,268828,361712,2020-08-24
India,210.8938921002663,0.1509661835748792,5,2427,3312,2020-08-24
India,260.11429931031336,0.2720824020989213,252,73090,92619,2020-08-24
India,98.71640468761176,0.4172145651715125,514,101292,123198,2020-08-24
India,261.9827997717685,1.2191103789126854,37,1646,3035,2020-08-24
India,74.92127643651118,0.9340709168404824,206,13424,22054,2020-08-24
India,354.21714924219293,0.0917010545621274,2,1786,2181,2020-08-24
India,868.6210118346919,2.653712921545343,4313,146588,162527,2020-08-24
India,891.284475965327,1.046824161833357,148,10909,14138,2020-08-24
India,137.29091340376928,3.316189802830393,2908,70231,87691,2020-08-24
India,196.63395012432684,1.1053011179228274,613,45405,55460,2020-08-24
India,68.45183579342601,0.5685159772593609,29,3584,5101,2020-08-24
India,243.085566119274,1.886621315192744,624,25205,33075,2020-08-24
India,80.33642995010513,1.0643444605708756,330,20870,31005,2020-08-24
India,419.85453331443927,1.6956621366753035,4810,197625,283665,2020-08-24
India,166.68047173733214,0.3932508738908308,234,38883,59504,2020-08-24
India,849.4689907360485,0.9871244635193132,23,1517,2330,2020-08-24
India,0.0,,0,0,0,2020-08-24
India,63.75545907802421,2.2895573399974274,1246,41231,54421,2020-08-24
India,563.0779772754747,3.239842053193116,22465,502490,693398,2020-08-24
India,173.4407876967665,0.4102946661693398,22,3714,5362,2020-08-24
India,58.69231386130674,0.4048582995951417,8,789,1976,2020-08-24
India,76.90172395428179,0.0,0,461,953,2020-08-24
India,165.08904540393254,0.2423263327948303,9,2396,3714,2020-08-24
India,175.76670320823902,0.5142429337620736,419,56925,81479,2020-08-24
India,768.2120517112332,1.5102679804770236,164,6942,10859,2020-08-24
India,143.60327912069567,2.6083541262360224,1129,28357,43284,2020-08-24
India,88.79749751362688,1.3438954902369538,967,56600,71955,2020-08-24
India,209.48901196811016,0.2074688796680498,3,934,1446,2020-08-24
India,495.0484683143711,1.7163528410388424,6614,325456,385352,2020-08-24
India,276.07331726873025,0.7085672218643599,770,84163,108670,2020-08-24
India,220.51449064390232,0.8482871125611745,78,6414,9195,2020-08-24
India,,,0,0,0,2020-08-24
India,80.87262326425763,1.552640059880862,2987,140107,192382,2020-08-24
India,138.02502884668883,1.3329898898834438,207,10912,15529,2020-08-24
India,142.39332645465856,2.010053794143982,2851,111292,141837,2020-08-24
