Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
India,1150.5001966257112,1.271363067944977,61,4659,4798,2020-12-11
India,1622.374680569737,0.8060467802153194,7049,862230,874515,2020-12-11
India,1050.457891901598,0.333393950415227,55,16163,16497,2020-12-11
India,602.2180052657566,0.4663483062229518,1000,209939,214432,2020-12-11
India,193.28697358362217,0.5438973227980864,1312,234383,241222,2020-12-11
India,1597.1023925460502,1.6160415090260511,299,17365,18502,2020-12-11
India,863.3204434358461,1.2072608793171973,3068,232715,254129,2020-12-11
India,544.8869948223555,0.059612518628912,2,3335,3355,2020-12-11
India,3225.5759497046697,1.645969165002858,9934,574925,603535,2020-12-11
India,3103.8613081166272,1.4278460444805523,703,47345,49235,2020-12-11
India,352.7407824465776,1.8410680680325249,4148,207529,225304,2020-12-11
India,887.7742752872465,1.0779012276651996,2699,237009,250394,2020-12-11
India,648.8767041668932,1.6399884187450884,793,39836,48354,2020-12-11
India,846.7168198307844,1.550253022819794,1786,108572,115207,2020-12-11
India,288.06848161789515,0.8949692832150534,995,108488,111177,2020-12-11
India,1330.6324144661744,1.3267913295832865,11928,868471,899011,2020-12-11
India,1845.079207538336,0.3889579661233097,2562,596593,658683,2020-12-11
India,3322.043538020117,1.3498683055311678,123,8192,9112,2020-12-11
India,0.0,,0,0,0,2020-12-11
India,259.04133209675166,1.5295208375732086,3382,204641,221115,2020-12-11
India,1520.5260582950773,2.5666510008331374,48059,1749973,1872440,2020-12-11
India,868.788906517615,1.19140697717711,320,23541,26859,2020-12-11
India,375.5892250891821,0.9806247528667458,124,11927,12645,2020-12-11
India,324.7140998867051,0.1739562624254473,7,3820,4024,2020-12-11
India,517.1367674284736,0.5844937252879491,68,10934,11634,2020-12-11
India,696.8389691902728,0.5566063728024419,1798,318278,323029,2020-12-11
India,2646.26024553922,1.6548147356039138,619,36420,37406,2020-12-11
India,527.8425770451797,3.1653247349134817,5036,146777,159099,2020-12-11
India,356.26609898136286,0.8708242694636499,2514,268457,288692,2020-12-11
India,766.5327540271581,2.2302022302022304,118,4810,5291,2020-12-11
India,1023.204054476657,1.4903167079946011,11870,774306,796475,2020-12-11
India,704.0949291832692,0.5372522559904168,1489,267992,277151,2020-12-11
India,791.7657323119561,1.1358473421172195,375,32285,33015,2020-12-11
India,,,0,0,0,2020-12-11
India,236.55437779267075,1.426103831021357,8025,534224,562722,2020-12-11
India,721.8205047117294,1.651254140448954,1341,73936,81211,2020-12-11
India,518.5308846102457,1.7358980067956749,8966,484258,516505,2020-12-11
