,Country_Region,Incident_Rate,Case_Fatality_Ratio,Deaths,Recovered,Confirmed,record_date
248,India,1197.4985372965402,1.2414897877452944,62,4922,4994,2021-01-27
249,India,1646.1839424468142,0.8059962878191106,7152,878828,887349,2021-01-27
250,India,1071.2798432049758,0.3328578221588208,56,16753,16824,2021-01-27
251,India,609.5480166154788,0.4980602832631472,1081,213857,217042,2021-01-27
252,India,207.65156543442185,0.5749588074814103,1490,256014,259149,2021-01-27
253,India,1797.1070538545137,1.6043037609875594,334,20339,20819,2021-01-27
254,India,1011.909439085459,1.2243678407885372,3647,289708,297868,2021-01-27
255,India,551.5458224789029,0.05889281507656066,2,3388,3396,2021-01-27
256,India,3390.1322446857507,1.7071690379537303,10829,621995,634325,2021-01-27
257,India,3347.517730496454,1.4369114877589453,763,51600,53100,2021-01-27
258,India,407.4060221223255,1.6839597263853665,4382,251862,260220,2021-01-27
259,India,948.4379407511346,1.1267121239308568,3014,263236,267504,2021-01-27
260,India,768.8720610900093,1.6999441496788608,974,55991,57296,2021-01-27
261,India,913.0609893049699,1.5543249030056183,1931,121253,124234,2021-01-27
262,India,307.03000377157576,0.8996160175534833,1066,116706,118495,2021-01-27
263,India,1387.4270777215695,1.302242519866479,12207,918859,937383,2021-01-27
264,India,2536.709046132737,0.4044872354075957,3663,829452,905591,2021-01-27
265,India,3532.0410224252532,1.3315441783649875,129,9511,9688,2021-01-27
266,India,107.09463129957008,0.0,0,0,69,2021-01-27
267,India,297.88318075318745,1.494081094899123,3799,247418,254270,2021-01-27
268,India,1636.7182730122877,2.525100172461355,50894,1920006,2015524,2021-01-27
269,India,938.2687297128135,1.2755541765780674,370,28476,29007,2021-01-27
270,India,408.14326152237646,1.0625136452951025,146,13506,13741,2021-01-27
271,India,351.9887931674472,0.2063273727647868,9,4311,4362,2021-01-27
272,India,537.0950284371881,0.7282959529918067,88,11938,12083,2021-01-27
273,India,721.9444919867908,0.5695213450982618,1906,331535,334667,2021-01-27
274,India,2754.3574934455432,1.6592181640725332,646,38006,38934,2021-01-27
275,India,571.991196286911,3.237126318109578,5581,164745,172406,2021-01-27
276,India,391.3284921348223,0.870692264998234,2761,311679,317104,2021-01-27
277,India,880.6941243113013,2.1878598453693043,133,5844,6079,2021-01-27
278,India,1074.3851330169123,1.474683582143092,12333,819306,836315,2021-01-27
279,India,746.7037602979387,0.5423189066524225,1594,289631,293923,2021-01-27
280,India,799.703774335135,1.1725544293168595,391,32934,33346,2021-01-27
281,India,,,0,0,0,2021-01-27
282,India,251.9628106664744,1.4408317984036731,8636,584372,599376,2021-01-27
283,India,851.7217086910173,1.7103917517166531,1639,92748,95826,2021-01-27
284,India,571.1153304626578,1.7822614100589926,10139,552877,568884,2021-01-27
