Open,High,Low,Close,Adj Close,Volume
30432.0,30668.099609375,29889.55078125,30183.099609375,30183.099609375,0
30029.05078125,30067.599609375,29470.099609375,29586.05078125,29586.05078125,0
29640.55078125,30718.349609375,29627.0,30002.599609375,30002.599609375,0
29974.94921875,30112.650390625,29711.349609375,29876.650390625,29876.650390625,0
29674.80078125,29754.400390625,28943.44921875,29103.150390625,29103.150390625,0
29226.150390625,29526.400390625,28077.349609375,28725.5,28725.5,1187300
28606.69921875,28769.099609375,28240.80078125,28414.099609375,28414.099609375,0
28681.900390625,28730.30078125,27653.69921875,27731.849609375,27731.849609375,0
27909.900390625,28185.150390625,27568.349609375,27767.55078125,27767.55078125,0
27901.650390625,28857.69921875,27702.05078125,28785.849609375,28785.849609375,0
28542.94921875,28552.75,27914.150390625,28013.44921875,28013.44921875,0
28245.55078125,28604.05078125,27736.80078125,28042.5,28042.5,0
28238.5,28553.400390625,28043.25,28181.94921875,28181.94921875,0
28257.849609375,28694.849609375,28186.25,28555.099609375,28555.099609375,0
28689.44921875,28759.349609375,28305.400390625,28538.80078125,28538.80078125,0
28596.349609375,29049.05078125,28487.94921875,28989.44921875,28989.44921875,0
28954.80078125,29249.5,28864.099609375,29120.25,29120.25,0
29416.25,29690.0,29231.19921875,29411.150390625,29411.150390625,0
29478.849609375,29643.80078125,29214.05078125,29459.599609375,29459.599609375,0
29604.349609375,29693.25,28994.19921875,29107.94921875,29107.94921875,0
29228.650390625,29452.099609375,28923.80078125,29395.94921875,29395.94921875,0
29527.599609375,29997.650390625,29385.44921875,29873.05078125,29873.05078125,0
30005.69921875,30151.099609375,29753.0,29987.5,29987.5,0
30168.650390625,30415.650390625,29987.150390625,30066.25,30066.25,0
30196.150390625,30409.0,30028.900390625,30330.55078125,30330.55078125,0
30415.900390625,30607.05078125,30227.25,30333.099609375,30333.099609375,0
30403.25,30452.69921875,30091.349609375,30219.849609375,30219.849609375,0
30225.19921875,30699.0,30013.650390625,30609.599609375,30609.599609375,0
30722.599609375,30821.349609375,30462.55078125,30633.150390625,30633.150390625,364800
30571.30078125,31108.400390625,30504.05078125,30749.400390625,30749.400390625,0
30664.650390625,31205.19921875,30625.80078125,31115.55078125,31115.55078125,0
31084.75,31198.5,30488.099609375,30541.55078125,30541.55078125,0
30615.80078125,30789.19921875,30338.349609375,30749.94921875,30749.94921875,0
30912.400390625,31165.44921875,30860.69921875,31008.400390625,31008.400390625,0
31036.80078125,31203.55078125,30901.849609375,30992.099609375,30992.099609375,0
31045.150390625,31298.05078125,30974.30078125,31236.25,31236.25,0
31292.349609375,31471.650390625,31205.55078125,31353.849609375,31353.849609375,0
31413.25,31463.150390625,31243.0,31349.94921875,31349.94921875,0
31389.599609375,31394.19921875,31055.19921875,31111.599609375,31111.599609375,0
31065.099609375,31591.599609375,31049.75,31555.900390625,31555.900390625,0
31692.849609375,31850.349609375,31465.849609375,31718.349609375,31718.349609375,0
31832.75,31916.80078125,31734.5,31875.94921875,31875.94921875,0
31981.69921875,32157.05078125,31905.900390625,32122.94921875,32122.94921875,498300
32074.150390625,32086.94921875,31770.80078125,31946.099609375,31946.099609375,0
32008.30078125,32024.099609375,31720.599609375,31871.44921875,31871.44921875,0
31920.099609375,31936.599609375,31502.94921875,31613.349609375,31613.349609375,0
31549.30078125,32017.75,31444.0,31979.30078125,31979.30078125,516800
32083.80078125,32126.94921875,31628.30078125,31712.94921875,31712.94921875,393300
31797.150390625,31883.69921875,31250.650390625,31341.55078125,31341.55078125,485400
31321.400390625,31537.650390625,31122.05078125,31316.650390625,31316.650390625,494500
31386.400390625,31412.80078125,31126.0,31160.349609375,31160.349609375,505400
31151.650390625,31337.849609375,30996.400390625,31256.75,31256.75,815400
31356.80078125,31711.44921875,31352.099609375,31665.44921875,31665.44921875,529700
31775.55078125,32105.05078125,31770.5,32014.25,32014.25,390500
32159.0,32186.94921875,31897.75,31974.19921875,31974.19921875,306000
32082.400390625,32213.349609375,31987.349609375,32140.25,32140.25,259900
32292.25,32293.650390625,32017.30078125,32244.25,32244.25,258800
32281.650390625,32328.349609375,32085.05078125,32241.44921875,32241.44921875,436900
32266.849609375,32443.349609375,32199.44921875,32384.94921875,32384.94921875,535200
32381.0,32502.80078125,32196.849609375,32339.44921875,32339.44921875,391500
32337.80078125,32390.349609375,32246.05078125,32280.75,32280.75,330800
32276.150390625,32314.599609375,31963.25,31997.69921875,31997.69921875,339800
32142.5,32444.849609375,32056.25,32412.349609375,32412.349609375,332400
32486.599609375,32613.099609375,32248.5,32354.900390625,32354.900390625,0
32345.94921875,32345.94921875,32108.75,32161.650390625,32161.650390625,251400
32133.150390625,32465.44921875,32121.400390625,32443.849609375,32443.849609375,253600
32326.94921875,32329.80078125,31960.400390625,32069.25,32069.25,217600
31910.44921875,31914.44921875,31170.55078125,31237.150390625,31237.150390625,256200
31598.05078125,31851.44921875,31200.900390625,31399.400390625,31399.400390625,294400
30995.5,31451.849609375,30899.55078125,31373.650390625,31373.650390625,304500
31748.25,32172.69921875,31667.150390625,32092.400390625,32092.400390625,308000
32215.69921875,32347.19921875,31953.400390625,32097.400390625,32097.400390625,444700
32139.099609375,32322.650390625,32074.05078125,32177.650390625,32177.650390625,291400
32196.44921875,32196.44921875,31989.19921875,32071.650390625,32071.650390625,438900
31994.75,32000.900390625,31670.349609375,31824.900390625,31824.900390625,545700
31810.55078125,31988.900390625,31692.400390625,31853.900390625,31853.900390625,253700
31571.650390625,31773.55078125,31445.5,31590.650390625,31590.650390625,308100
