Date,Open,High,Low,Close,Adj Close,Volume
2020-05-29,18962.0,19358.05078125,18729.900390625,19297.25,19297.25,581700
2020-06-01,19728.900390625,20225.349609375,19632.900390625,19959.900390625,19959.900390625,558100
2020-06-02,20120.599609375,20615.75,19852.55078125,20530.19921875,20530.19921875,448300
2020-06-03,20966.599609375,21619.55078125,20822.0,20940.69921875,20940.69921875,616900
2020-06-04,20932.349609375,21141.80078125,20316.19921875,20390.44921875,20390.44921875,587900
2020-06-05,20516.400390625,21198.69921875,20425.05078125,21034.5,21034.5,637400
2020-06-08,21636.099609375,21807.400390625,20911.25,21187.349609375,21187.349609375,748100
2020-06-09,21295.5,21568.849609375,20629.69921875,20724.900390625,20724.900390625,641200
2020-06-10,20760.94921875,21251.44921875,20671.55078125,21100.099609375,21100.099609375,583000
2020-06-11,21084.69921875,21244.44921875,20458.30078125,20525.150390625,20525.150390625,747100
2020-06-12,19529.30078125,20747.69921875,19526.099609375,20654.55078125,20654.55078125,599200
2020-06-15,20457.150390625,20470.849609375,19740.19921875,19912.900390625,19912.900390625,0
2020-06-16,20500.650390625,20638.849609375,19507.05078125,20296.69921875,20296.69921875,0
2020-06-17,20137.44921875,20627.900390625,19978.150390625,20201.75,20201.75,0
2020-06-18,20137.599609375,21028.349609375,20030.349609375,20956.30078125,20956.30078125,0
2020-06-19,20970.099609375,21467.650390625,20878.25,21338.099609375,21338.099609375,0
2020-06-22,21491.55078125,22078.25,21425.55078125,21708.349609375,21708.349609375,664600
2020-06-23,21859.25,22322.30078125,21647.80078125,22264.900390625,22264.900390625,527900
2020-06-24,22479.349609375,22479.55078125,21336.349609375,21426.80078125,21426.80078125,684600
2020-06-25,21218.05078125,21703.5,20926.44921875,21506.150390625,21506.150390625,586200
2020-06-26,21735.05078125,21784.650390625,21320.099609375,21592.05078125,21592.05078125,375600
2020-06-29,21291.55078125,21440.05078125,21026.44921875,21359.0,21359.0,328000
2020-06-30,21524.30078125,21650.5,21212.0,21370.150390625,21370.150390625,292700
2020-07-01,21354.099609375,22061.599609375,21281.849609375,21977.599609375,21977.599609375,386000
2020-07-02,22133.80078125,22344.849609375,21890.5,21953.19921875,21953.19921875,399000
2020-07-03,22101.75,22130.30078125,21768.0,21852.400390625,21852.400390625,256200
2020-07-06,22270.94921875,22399.25,22171.05078125,22198.94921875,22198.94921875,290900
2020-07-07,22254.30078125,22674.5,22040.349609375,22628.0,22628.0,455800
2020-07-08,22700.900390625,23080.599609375,22499.5,22584.650390625,22584.650390625,673100
2020-07-09,22753.150390625,22998.30078125,22673.400390625,22907.19921875,22907.19921875,356000
2020-07-10,22720.94921875,22835.19921875,22320.05078125,22398.44921875,22398.44921875,457100
2020-07-13,22613.25,22657.400390625,21981.650390625,22089.25,22089.25,293700
2020-07-14,21877.599609375,21909.69921875,21222.44921875,21392.19921875,21392.19921875,338500
2020-07-15,21634.25,21935.5,21230.55078125,21340.75,21340.75,359100
2020-07-16,21453.25,21671.25,21027.849609375,21597.150390625,21597.150390625,348600
2020-07-17,21608.05078125,22065.0,21550.80078125,21966.80078125,21966.80078125,294900
2020-07-20,22307.30078125,22520.44921875,22187.80078125,22321.849609375,22321.849609375,349700
2020-07-21,22639.849609375,22861.900390625,22597.94921875,22782.0,22782.0,316700
2020-07-22,23159.0,23211.349609375,22658.19921875,22882.599609375,22882.599609375,412700
2020-07-23,22854.849609375,23122.349609375,22734.900390625,23083.900390625,23083.900390625,307600
2020-07-24,22853.19921875,22854.05078125,22417.19921875,22662.05078125,22662.05078125,436300
2020-07-27,22664.599609375,22668.05078125,21801.349609375,21848.75,21848.75,340900
2020-07-28,21940.150390625,22233.0,21611.400390625,22105.19921875,22105.19921875,379800
2020-07-29,22075.0,22346.400390625,21906.349609375,22076.599609375,22076.599609375,400400
2020-07-30,22195.05078125,22252.599609375,21580.150390625,21646.849609375,21646.849609375,299600
2020-07-31,21730.55078125,21806.94921875,21375.0,21640.05078125,21640.05078125,397300
2020-08-03,21543.80078125,21543.80078125,21031.44921875,21072.099609375,21072.099609375,431000
2020-08-04,21248.25,21576.349609375,21057.75,21490.5,21490.5,0
2020-08-05,21686.849609375,21936.5,21448.400390625,21509.94921875,21509.94921875,338800
2020-08-06,21644.25,21926.55078125,21370.30078125,21642.599609375,21642.599609375,386600
2020-08-07,21620.25,21787.25,21451.30078125,21754.0,21754.0,378600
2020-08-10,21824.900390625,22071.94921875,21795.099609375,21900.25,21900.25,261800
2020-08-11,22050.19921875,22277.599609375,22039.849609375,22227.19921875,22227.19921875,377900
2020-08-12,22135.94921875,22326.55078125,21990.19921875,22264.0,22264.0,507500
2020-08-13,22395.19921875,22439.94921875,22139.599609375,22196.349609375,22196.349609375,289100
2020-08-14,22334.94921875,22334.94921875,21459.099609375,21679.400390625,21679.400390625,318800
2020-08-17,21906.94921875,21909.400390625,21403.150390625,21700.849609375,21700.849609375,263400
2020-08-18,21702.0,22227.75,21629.400390625,22170.599609375,22170.599609375,0
2020-08-19,22315.400390625,22419.349609375,22234.25,22285.900390625,22285.900390625,0
2020-08-20,21989.900390625,22079.900390625,21886.69921875,21999.44921875,21999.44921875,0
2020-08-21,22190.69921875,22344.05078125,22165.05078125,22299.599609375,22299.599609375,0
2020-08-24,22436.849609375,22897.5,22410.05078125,22833.0,22833.0,0
2020-08-25,22973.400390625,23180.30078125,22857.900390625,23092.150390625,23092.150390625,0
2020-08-26,23175.55078125,23453.400390625,23093.150390625,23414.19921875,23414.19921875,0
2020-08-27,23511.44921875,23704.05078125,23464.150390625,23600.349609375,23600.349609375,0
2020-08-28,23635.30078125,24611.80078125,23599.19921875,24523.80078125,24523.80078125,0
2020-08-31,25038.80078125,25232.599609375,23385.30078125,23754.349609375,23754.349609375,0
2020-09-01,23893.80078125,24199.650390625,23473.150390625,23812.0,23812.0,0
2020-09-02,23769.0,23926.150390625,23482.55078125,23874.55078125,23874.55078125,0
2020-09-03,23986.150390625,24051.599609375,23451.650390625,23530.849609375,23530.849609375,0
2020-09-04,23119.150390625,23394.80078125,22876.900390625,23011.5,23011.5,0
2020-09-07,23036.25,23109.099609375,22716.25,22945.05078125,22945.05078125,245300
2020-09-08,22971.19921875,23064.150390625,22641.400390625,22744.400390625,22744.400390625,0
2020-09-09,22486.69921875,22554.599609375,22080.400390625,22267.0,22267.0,0
2020-09-10,22466.55078125,22678.650390625,22225.25,22466.19921875,22466.19921875,0
2020-09-11,22509.94921875,22668.75,22205.94921875,22479.94921875,22479.94921875,0
2020-09-14,22683.349609375,22757.30078125,22028.150390625,22101.25,22101.25,0
2020-09-15,22202.80078125,22514.150390625,22062.349609375,22465.650390625,22465.650390625,0
2020-09-16,22476.30078125,22659.400390625,22216.5,22573.55078125,22573.55078125,0
