Open,High,Low,Close,Adj Close,Volume
11590.7001953125,11655.0498046875,11539.2001953125,11588.2001953125,11588.2001953125,651700
11564.849609375,11564.9501953125,11416.099609375,11440.2001953125,11440.2001953125,629100
11469.849609375,11610.849609375,11466.349609375,11571.2001953125,11571.2001953125,844500
11556.349609375,11593.599609375,11499.75,11512.400390625,11512.400390625,650000
11491.150390625,11508.25,11390.7998046875,11474.4501953125,11474.4501953125,756800
11515.400390625,11554.2001953125,11247.900390625,11359.900390625,11359.900390625,1305400
11322.25,11370.400390625,11257.349609375,11314.0,11314.0,1017500
11388.4501953125,11400.2998046875,11158.349609375,11174.75,11174.75,928500
11196.2001953125,11233.849609375,11112.650390625,11126.400390625,11126.400390625,733200
11152.9501953125,11321.599609375,11090.150390625,11313.2998046875,11313.2998046875,741100
11280.5,11293.349609375,11208.5498046875,11234.5498046875,11234.5498046875,562000
11257.7001953125,11362.900390625,11189.400390625,11305.0498046875,11305.0498046875,737800
11335.900390625,11420.4501953125,11290.0498046875,11341.150390625,11341.150390625,587600
11360.849609375,11462.349609375,11342.099609375,11428.2998046875,11428.2998046875,527400
11464.9501953125,11481.0498046875,11411.099609375,11464.0,11464.0,533500
11466.2998046875,11599.099609375,11439.650390625,11586.349609375,11586.349609375,797600
11580.2998046875,11684.7001953125,11553.150390625,11661.849609375,11661.849609375,853400
11657.150390625,11714.349609375,11573.650390625,11588.349609375,11588.349609375,867600
11596.2001953125,11651.599609375,11554.400390625,11604.099609375,11604.099609375,664200
11661.650390625,11679.599609375,11534.650390625,11582.599609375,11582.599609375,700500
11646.150390625,11646.900390625,11490.75,11583.900390625,11583.900390625,812000
11643.9501953125,11809.400390625,11627.349609375,11786.849609375,11786.849609375,951700
11883.900390625,11883.9501953125,11784.4501953125,11844.099609375,11844.099609375,725200
11890.4501953125,11945.0,11855.099609375,11877.4501953125,11877.4501953125,1414800
11886.599609375,11918.2998046875,11843.349609375,11890.599609375,11890.599609375,855300
11928.900390625,11989.150390625,11905.349609375,11941.2998046875,11941.2998046875,823100
11974.599609375,11978.9501953125,11861.900390625,11917.2001953125,11917.2001953125,632000
11911.5,12002.900390625,11850.25,11966.0498046875,11966.0498046875,603400
12021.099609375,12021.400390625,11946.849609375,12012.0498046875,12012.0498046875,563000
11987.150390625,12034.150390625,11888.75,11908.150390625,11908.150390625,789300
11879.2001953125,11932.650390625,11853.9501953125,11913.4501953125,11913.4501953125,549000
11908.2998046875,11946.7998046875,11823.2001953125,11840.4501953125,11840.4501953125,659000
11858.75,11895.650390625,11802.650390625,11872.099609375,11872.099609375,559500
11904.2001953125,11973.650390625,11879.25,11895.4501953125,11895.4501953125,580200
11915.150390625,11946.2001953125,11867.599609375,11884.5,11884.5,514400
11919.4501953125,11958.849609375,11881.75,11940.099609375,11940.099609375,613900
12004.75,12038.599609375,11966.0498046875,11999.099609375,11999.099609375,646700
12025.650390625,12028.2001953125,11956.900390625,11968.400390625,11968.400390625,557700
11967.2998046875,11968.099609375,11883.5,11914.400390625,11914.400390625,486800
11922.4501953125,12084.5,11919.75,12073.75,12073.75,534300
12110.2001953125,12132.4501953125,12006.349609375,12037.7001953125,12037.7001953125,1201300
12068.5,12114.900390625,12055.150390625,12100.7001953125,12100.7001953125,584200
12132.099609375,12158.7998046875,12099.9501953125,12151.150390625,12151.150390625,620500
12146.2001953125,12147.400390625,12017.400390625,12056.0498046875,12056.0498046875,804400
12137.0498046875,12137.150390625,12023.7001953125,12048.2001953125,12048.2001953125,720900
12067.650390625,12068.599609375,11956.400390625,11994.2001953125,11994.2001953125,605800
11969.9501953125,12054.7001953125,11935.2998046875,12043.2001953125,12043.2001953125,747200
12071.25,12081.2001953125,11998.75,12018.400390625,12018.400390625,562200
12047.349609375,12057.0498046875,11888.849609375,11921.5,11921.5,609200
11939.099609375,11981.9501953125,11888.0498046875,11937.5,11937.5,599100
11950.5,11953.2001953125,11844.7001953125,11856.7998046875,11856.7998046875,650200
11867.349609375,11923.2001953125,11832.2998046875,11910.150390625,11910.150390625,997700
11944.2998046875,12005.5,11934.0,11971.7998046875,11971.7998046875,752600
12026.400390625,12098.849609375,12023.599609375,12086.7001953125,12086.7001953125,597700
12131.349609375,12134.650390625,12046.2998046875,12053.9501953125,12053.9501953125,437700
12082.4501953125,12182.75,12070.349609375,12165.0,12165.0,499600
12197.0,12237.7001953125,12163.4501953125,12221.650390625,12221.650390625,518900
12223.400390625,12268.349609375,12191.150390625,12259.7001953125,12259.7001953125,623100
12266.4501953125,12293.900390625,12252.75,12271.7998046875,12271.7998046875,810700
12235.4501953125,12287.150390625,12213.25,12262.75,12262.75,604800
12269.25,12283.7001953125,12202.099609375,12214.5498046875,12214.5498046875,470300
12211.849609375,12221.5498046875,12118.849609375,12126.5498046875,12126.5498046875,520300
12172.900390625,12258.4501953125,12157.900390625,12245.7998046875,12245.7998046875,383800
12274.900390625,12286.4501953125,12213.7998046875,12255.849609375,12255.849609375,411100
12247.099609375,12247.099609375,12151.7998046875,12168.4501953125,12168.4501953125,426900
12202.150390625,12222.2001953125,12165.2998046875,12182.5,12182.5,304100
12198.5498046875,12289.900390625,12195.25,12282.2001953125,12282.2001953125,407700
12261.099609375,12265.599609375,12191.349609375,12226.650390625,12226.650390625,428800
12170.599609375,12179.099609375,11974.2001953125,11993.0498046875,11993.0498046875,396500
12079.099609375,12152.150390625,12005.349609375,12052.9501953125,12052.9501953125,447800
11939.099609375,12044.9501953125,11929.599609375,12025.349609375,12025.349609375,446000
12153.150390625,12224.0498046875,12132.5498046875,12215.900390625,12215.900390625,477500
12271.0,12311.2001953125,12213.2001953125,12256.7998046875,12256.7998046875,660600
12296.7001953125,12337.75,12285.7998046875,12329.5498046875,12329.5498046875,501000
12333.099609375,12374.25,12308.7001953125,12362.2998046875,12362.2998046875,616300
12349.400390625,12355.150390625,12278.75,12343.2998046875,12343.2998046875,684400
12347.099609375,12389.0498046875,12315.7998046875,12355.5,12355.5,395700
12328.400390625,12385.4501953125,12321.400390625,12352.349609375,12352.349609375,502100
12430.5,12430.5,12216.900390625,12224.5498046875,12224.5498046875,491600
12195.2998046875,12230.0498046875,12162.2998046875,12169.849609375,12169.849609375,400
12218.349609375,12225.0498046875,12087.900390625,12106.900390625,12106.900390625,500
12123.75,12189.0,12094.099609375,12180.349609375,12180.349609375,867700
12174.5498046875,12272.150390625,12149.650390625,12248.25,12248.25,593200
12197.099609375,12216.599609375,12107.0,12119.0,12119.0,441200
12148.099609375,12163.5498046875,12024.5,12055.7998046875,12055.7998046875,478500
12114.900390625,12169.599609375,12103.7998046875,12129.5,12129.5,514400
12147.75,12150.2998046875,12010.599609375,12035.7998046875,12035.7998046875,538100
12100.400390625,12103.5498046875,11945.849609375,11962.099609375,11962.099609375,771300
11627.4501953125,11749.849609375,11614.5,11707.900390625,11707.900390625,669800
11786.25,11986.150390625,11783.400390625,11979.650390625,11979.650390625,560400
12005.849609375,12098.150390625,11953.349609375,12089.150390625,12089.150390625,758000
12120.0,12160.599609375,12084.650390625,12137.9501953125,12137.9501953125,565100
12151.150390625,12154.7001953125,12073.9501953125,12098.349609375,12098.349609375,473500
12102.349609375,12103.5498046875,11990.75,12031.5,12031.5,524700
12108.400390625,12172.2998046875,12099.0,12107.900390625,12107.900390625,480000
12151.0,12231.75,12144.2998046875,12201.2001953125,12201.2001953125,411700
12219.5498046875,12225.650390625,12139.7998046875,12174.650390625,12174.650390625,501200
12190.150390625,12246.7001953125,12091.2001953125,12113.4501953125,12113.4501953125,622800
12131.7998046875,12159.599609375,12037.0,12045.7998046875,12045.7998046875,0
12028.25,12030.75,11908.0498046875,11992.5,11992.5,676900
12090.599609375,12134.7001953125,12042.099609375,12125.900390625,12125.900390625,513600
12119.0,12152.0,12071.4501953125,12080.849609375,12080.849609375,502600
12012.5498046875,12012.5498046875,11813.400390625,11829.400390625,11829.400390625,490800
11877.5,11883.0498046875,11779.900390625,11797.900390625,11797.900390625,461000
11738.5498046875,11783.25,11639.599609375,11678.5,11678.5,567600
11661.25,11663.849609375,11536.7001953125,11633.2998046875,11633.2998046875,608600
11382.0,11384.7998046875,11175.0498046875,11201.75,11201.75,809900
11387.349609375,11433.0,11036.25,11132.75,11132.75,680800
